scope,year,digital_indicator,outcome,n,pearson_r
pooled_2021_2023,all,internet_use_rate,stress_std,51,0.0010340350475850604
within_year,2021,internet_use_rate,stress_std,17,-0.01880078742048332
within_year,2022,internet_use_rate,stress_std,17,0.0990091227043692
within_year,2023,internet_use_rate,stress_std,17,-0.06377608372538984
pooled_2021_2023,all,internet_use_rate,depression_std,51,0.2664599534788847
within_year,2021,internet_use_rate,depression_std,17,0.1198399833190971
within_year,2022,internet_use_rate,depression_std,17,0.18591669919400225
within_year,2023,internet_use_rate,depression_std,17,0.321699430555929
pooled_2021_2023,all,internet_use_rate,depression_counseling_std,34,0.05044178480255536
within_year,2021,internet_use_rate,depression_counseling_std,0,
within_year,2022,internet_use_rate,depression_counseling_std,17,0.10350748055576414
within_year,2023,internet_use_rate,depression_counseling_std,17,-0.26408712588263467
pooled_2021_2023,all,internet_use_rate,subjective_health_std,51,-0.11777160602856705
within_year,2021,internet_use_rate,subjective_health_std,17,-0.09901147045421352
within_year,2022,internet_use_rate,subjective_health_std,17,-0.2696549090767371
within_year,2023,internet_use_rate,subjective_health_std,17,0.08661778748096512
pooled_2021_2023,all,internet_use_rate,happiness_std,0,
within_year,2021,internet_use_rate,happiness_std,0,
within_year,2022,internet_use_rate,happiness_std,0,
within_year,2023,internet_use_rate,happiness_std,0,
pooled_2021_2023,all,internet_use_rate,eq5d_std,17,0.0761949738052805
within_year,2021,internet_use_rate,eq5d_std,0,
within_year,2022,internet_use_rate,eq5d_std,17,0.0761949738052805
within_year,2023,internet_use_rate,eq5d_std,0,
pooled_2021_2023,all,mobile_internet_use_rate,stress_std,51,-0.12148292227568638
within_year,2021,mobile_internet_use_rate,stress_std,17,-0.04317120667389621
within_year,2022,mobile_internet_use_rate,stress_std,17,-0.13412602972503207
within_year,2023,mobile_internet_use_rate,stress_std,17,-0.11993437695357442
pooled_2021_2023,all,mobile_internet_use_rate,depression_std,51,0.15220761300554217
within_year,2021,mobile_internet_use_rate,depression_std,17,0.10594790307346433
within_year,2022,mobile_internet_use_rate,depression_std,17,-0.09574053310948755
within_year,2023,mobile_internet_use_rate,depression_std,17,0.29709123117971503
pooled_2021_2023,all,mobile_internet_use_rate,depression_counseling_std,34,-0.0006364335147796613
within_year,2021,mobile_internet_use_rate,depression_counseling_std,0,
within_year,2022,mobile_internet_use_rate,depression_counseling_std,17,0.06209662445326395
within_year,2023,mobile_internet_use_rate,depression_counseling_std,17,-0.25192643620951877
pooled_2021_2023,all,mobile_internet_use_rate,subjective_health_std,51,-0.07383198990744544
within_year,2021,mobile_internet_use_rate,subjective_health_std,17,-0.11455884993241967
within_year,2022,mobile_internet_use_rate,subjective_health_std,17,-0.18788575144488598
within_year,2023,mobile_internet_use_rate,subjective_health_std,17,0.07279508224273276
pooled_2021_2023,all,mobile_internet_use_rate,happiness_std,0,
within_year,2021,mobile_internet_use_rate,happiness_std,0,
within_year,2022,mobile_internet_use_rate,happiness_std,0,
within_year,2023,mobile_internet_use_rate,happiness_std,0,
pooled_2021_2023,all,mobile_internet_use_rate,eq5d_std,17,0.43326298087230886
within_year,2021,mobile_internet_use_rate,eq5d_std,0,
within_year,2022,mobile_internet_use_rate,eq5d_std,17,0.43326298087230886
within_year,2023,mobile_internet_use_rate,eq5d_std,0,
pooled_2021_2023,all,smartphone_use_rate,stress_std,51,-0.18898087249187548
within_year,2021,smartphone_use_rate,stress_std,17,-0.041360438927456895
within_year,2022,smartphone_use_rate,stress_std,17,-0.13879482045724853
within_year,2023,smartphone_use_rate,stress_std,17,-0.18397909666762244
pooled_2021_2023,all,smartphone_use_rate,depression_std,51,0.11063061757804195
within_year,2021,smartphone_use_rate,depression_std,17,0.10963301832934122
within_year,2022,smartphone_use_rate,depression_std,17,-0.0974677638538827
within_year,2023,smartphone_use_rate,depression_std,17,0.29279274609547096
pooled_2021_2023,all,smartphone_use_rate,depression_counseling_std,34,-0.09491562831947549
within_year,2021,smartphone_use_rate,depression_counseling_std,0,
within_year,2022,smartphone_use_rate,depression_counseling_std,17,0.08589290315364387
within_year,2023,smartphone_use_rate,depression_counseling_std,17,-0.3263148759697278
pooled_2021_2023,all,smartphone_use_rate,subjective_health_std,51,-0.06532738478078569
within_year,2021,smartphone_use_rate,subjective_health_std,17,-0.0963697481181875
within_year,2022,smartphone_use_rate,subjective_health_std,17,-0.1936170484977325
within_year,2023,smartphone_use_rate,subjective_health_std,17,-0.03209516218589208
pooled_2021_2023,all,smartphone_use_rate,happiness_std,0,
within_year,2021,smartphone_use_rate,happiness_std,0,
within_year,2022,smartphone_use_rate,happiness_std,0,
within_year,2023,smartphone_use_rate,happiness_std,0,
pooled_2021_2023,all,smartphone_use_rate,eq5d_std,17,0.43513233654818934
within_year,2021,smartphone_use_rate,eq5d_std,0,
within_year,2022,smartphone_use_rate,eq5d_std,17,0.43513233654818934
within_year,2023,smartphone_use_rate,eq5d_std,0,
