column,nonmissing,n_rows
year,51,51
region_code,51,51
sido_nia,51,51
internet_use_rate,51,51
mobile_internet_use_rate,51,51
smartphone_use_rate,51,51
source_family,51,51
sido_chs,51,51
subjective_health_std,51,51
stress_std,51,51
depression_std,51,51
depression_counseling_std,34,51
stress_counseling_std,0,51
suicide_ideation_std,0,51
happiness_std,0,51
eq5d_std,17,51
aged_pop_rate,51,51
elderly_living_alone_household_rate,51,51
unemployment_rate,51,51
psychiatry_specialists_count,51,51
psychiatry_clinic_count,51,51
log1p_psychiatry_specialists_count,51,51
log1p_psychiatry_clinic_count,51,51
